ym,rc1,n_all,n_card,s_fare,s_extra,s_mta,s_imp,s_cs,s_cbd,s_air,s_tolls,s_ptt,s_tip
2019-01,0,233639,185217,9388969.989999859,107427.01000000001,80198.5,55375.50000016322,0.0,0,0,816896.5300008476,10449942.469997626,1673927.4999994498
2019-01,1,7349020,5276044,59694991.86,1725086.5100000005,2637854.5500000003,1582800.0001499415,55.0,0,0,1137192.090001547,66809023.63399972,12273585.620026907
2019-01,,28444,0,,,,,,,,,,
2019-02,0,223341,178535,9052140.899999762,186466.31999999998,75199.1,53411.100000144164,264377.75,0,0,801923.5800008002,10350012.559996426,1637564.2999996818
2019-02,1,6717762,4983979,58175434.150000036,5884875.3999999985,2491648.0,1495184.7001363419,11144253.5,0,0,1158699.540001571,76141349.63348164,13480277.940033711
2019-02,,29421,0,,,,,,,,,,
2019-03,0,275498,219612,11231732.469999958,235783.2099999999,92042.1,65696.70000026334,342379.25,0,0,997740.9800010143,12855245.030016784,2053650.7899996876
2019-03,1,7474518,5478199,65127273.300000295,6737655.169999997,2738882.82,1643449.2001593555,12895226.75,0,0,1319704.210002013,85583500.06192008,15210025.160044244
2019-03,,33385,0,,,,,,,,,,
2019-04,0,250101,186709,10030459.709999971,236179.85999999996,79436.3,55811.40000016745,326953.0,0,0,958536.4099995104,11582906.939997986,1970119.420001186
2019-04,1,7106618,5145731,61399746.36000093,6353529.950000024,2572620.2,1543704.000143873,12150721.5,0,0,1271371.9700032596,80744042.65269624,14407795.510043114
2019-04,,42362,0,,,,,,,,,,
2019-05,0,260963,195403,10757843.389999986,248070.74,83870.09,58401.90000019258,359665.25,0,0,1034797.8699994688,12428630.81000076,2180287.5400011167
2019-05,1,7224754,5239383,63797354.77000197,6345093.499999994,2619425.13,1571794.2001482332,12365428.55,0,0,1356805.310004734,83515408.33255194,14836793.800044302
2019-05,,32713,0,,,,,,,,,,
2019-06,0,250484,190538,10497913.500000007,233868.90999999997,81714.64000000001,56933.10000017833,348790.0,0,0,1002236.0699994818,12112232.969999965,2118237.750001218
