ym,v,fbin,n,mean_tip,mean_rate,zero_sh
2012-04,2,20.0,49685,3.9179790681289326,0.18774425134596995,0.050397504276944755
2012-04,1,4.0,700252,1.2123514106348028,0.2435604056784238,0.018039220166454362
2012-04,2,6.0,600488,1.4229496842564953,0.2073118000549834,0.02839024260268315
2012-04,1,26.0,33543,5.744520168142483,0.21398276325441112,0.033449602003398624
2012-04,1,34.0,8152,6.891481844945973,0.19776994589978109,0.05507850834151128
2012-04,1,16.0,115211,3.1730316549636135,0.18839835225283846,0.023235628542413483
2012-04,1,28.0,23631,6.076729719436237,0.21073492002639366,0.038000930980491725
2012-04,1,30.0,15535,6.3572796910204605,0.20623989109825505,0.044480205986482134
2012-04,2,32.0,8799,6.2164030003408834,0.18928539382480744,0.07284918740765996
2012-04,1,10.0,405578,2.1142701280628176,0.19531293441428763,0.01577501738259965
2012-04,1,38.0,3290,7.422799392097253,0.19119386174049224,0.06139817629179331
2012-04,2,36.0,4256,6.767864191729327,0.18377742502233846,0.08082706766917293
2012-04,2,12.0,198552,2.362381844554418,0.18409660287076876,0.03354788669970587
2012-04,2,8.0,456218,1.7258145228806194,0.1953674748538179,0.028100601028455695
2012-04,2,22.0,41409,4.416692747953159,0.19303753442526383,0.051075853075418384
2012-04,2,24.0,34762,4.857433979633135,0.1953536817683491,0.05733271963638456
2012-04,1,8.0,609214,1.7838376498239044,0.20191792148028176,0.014467822472891299
2012-04,1,12.0,263786,2.4427982531294523,0.19037748994656511,0.017730281364439358
2012-04,1,14.0,174791,2.7915528259462663,0.18819572224170739,0.021173859065970215
2012-04,1,40.0,83633,8.773151626751657,0.19200622398941342,0.05348367271292433
2012-04,2,18.0,62725,3.484737504982079,0.1847390213154106,0.045643682742128336
2012-04,1,24.0,44426,5.351055012830391,0.21521802837431367,0.03167064331697655
2012-04,1,22.0,53427,4.813726954535987,0.21040797721362844,0.03180040054654014
2012-04,2,4.0,517863,1.1471760871118717,0.23025270767316347,0.03239853011317665
2012-04,1,6.0,806056,1.4835169268636992,0.216258362608644,0.01494313050209911
2012-04,2,26.0,26864,5.230766081000928,0.1948078404377616,0.06320726622989875
2012-04,2,34.0,6753,6.435242114615732,0.18472587481371455,0.08751665926254998
2012-04,1,18.0,83704,3.637497730096736,0.19289580416035784,0.026103889897734874
2012-04,2,14.0,131139,2.708708698404143,0.18265905455213796,0.036976033064153306
2012-04,2,40.0,70452,8.153113183444082,0.1785016190435829,0.08932322716175552
2012-04,1,20.0,65258,4.222519078120618,0.2023003750350785,0.03034110760366545
2012-04,2,16.0,87452,3.0721848556926243,0.18240043161535505,0.041314092302062844
2012-04,1,32.0,10857,6.705060329741183,0.20418376335981414,0.042368978539191304
2012-04,2,28.0,18969,5.583261637408377,0.1935873049891255,0.06700405925457326
2012-04,2,30.0,12856,5.887429993777055,0.1909849441431274,0.07459551960174238
2012-04,2,10.0,306399,2.038120489949599,0.18823929475467155,0.03044722730818312
2012-04,1,36.0,5039,7.222770390950564,0.19610239281570882,0.05239134748958127
2012-04,2,38.0,2710,6.96251291512918,0.1792279644077553,0.09667896678966789
2012-05,1,22.0,58000,4.795978448275701,0.20956842079596447,0.030086206896551723
2012-05,1,24.0,47738,5.337853491977018,0.21465118528599558,0.03324395659642214
2012-05,2,16.0,98499,3.0709491466919396,0.18235431134476335,0.04040650158884862
2012-05,1,40.0,88690,8.822304882175631,0.19313703535682383,0.052497463073627244
2012-05,1,14.0,186735,2.801476048946238,0.18889624332766378,0.02007122392695531
