base,bin,n
allin,5.0,9678
allin,5.5,14270
allin,6.0,15967
allin,6.5,16582
allin,7.0,19245
allin,7.5,19854
allin,8.0,19849
allin,8.5,18413
allin,9.0,19882
allin,9.5,21160
allin,10.0,70014
allin,10.5,17149
allin,11.0,20331
allin,11.5,16432
allin,12.0,22005
allin,12.5,17046
allin,13.0,15017
allin,13.5,15379
allin,14.0,15275
allin,14.5,14517
allin,15.0,83174
allin,15.5,11038
allin,16.0,12412
allin,16.5,10816
allin,17.0,9183
allin,17.5,6173
allin,18.0,18268
allin,18.5,7626
allin,19.0,14992
allin,19.5,35706
allin,20.0,1219937
allin,20.5,6511
allin,21.0,2672
allin,21.5,2437
allin,22.0,4464
allin,22.5,2096
allin,23.0,1874
allin,23.5,2325
allin,24.0,4446
allin,24.5,5434
allin,25.0,180818
allin,25.5,793
allin,26.0,1201
allin,26.5,977
allin,27.0,862
allin,27.5,866
allin,28.0,769
allin,28.5,1211
allin,29.0,1215
allin,29.5,2183
allin,30.0,68505
allin,30.5,1977
allin,31.0,610
allin,31.5,755
allin,32.0,307
allin,32.5,575
allin,33.0,1414
allin,33.5,413
allin,34.0,463
allin,34.5,372
allin,35.0,558
allin,35.5,1016
allin,36.0,132
allin,36.5,349
allin,37.0,218
allin,37.5,461
allin,38.0,240
allin,38.5,365
allin,39.0,248
allin,39.5,462
allin,40.0,171
fare,5.0,3156
fare,5.5,4903
fare,6.0,6949
fare,6.5,9274
fare,7.0,7431
fare,7.5,8844
fare,8.0,8913
fare,8.5,10048
fare,9.0,11754
fare,9.5,11968
fare,10.0,15360
fare,10.5,7124
fare,11.0,15765
fare,11.5,18157
fare,12.0,11203
fare,12.5,22958
fare,13.0,15444
fare,13.5,15399
fare,14.0,27118
fare,14.5,8621
fare,15.0,17745
fare,15.5,24720
fare,16.0,10195
fare,16.5,15676
fare,17.0,16973
fare,17.5,20484
fare,18.0,6864
fare,18.5,20381
fare,19.0,15218
fare,19.5,13808
fare,20.0,20549
fare,20.5,15768
fare,21.0,22011
fare,21.5,22363
fare,22.0,17048
fare,22.5,24829
fare,23.0,34237
fare,23.5,56705
fare,24.0,47489
fare,24.5,54203
fare,25.0,62441
fare,25.5,68790
fare,26.0,66163
fare,26.5,71103
fare,27.0,61657
fare,27.5,63864
fare,28.0,66506
fare,28.5,58981
fare,29.0,53313
fare,29.5,71037
fare,30.0,66725
fare,30.5,37897
fare,31.0,49979
fare,31.5,43646
fare,32.0,36187
fare,32.5,53086
fare,33.0,31678
fare,33.5,34574
fare,34.0,22889
fare,34.5,53541
fare,35.0,16424
fare,35.5,28551
fare,36.0,25178
fare,36.5,20590
fare,37.0,19726
fare,37.5,23294
fare,38.0,11782
fare,38.5,19984
fare,39.0,14855
fare,39.5,8341
fare,40.0,17283
