pu,borough,part,lon,lat
2,Queens,0,-73.82338,40.63899
2,Queens,0,-73.82108,40.62973
2,Queens,0,-73.81991,40.62784
2,Queens,0,-73.81796,40.62711
2,Queens,0,-73.8177,40.62596
2,Queens,0,-73.81611,40.6246
2,Queens,0,-73.81673,40.62387
2,Queens,0,-73.81795,40.62409
2,Queens,0,-73.81892,40.62309
2,Queens,0,-73.81779,40.62163
2,Queens,0,-73.81653,40.622
2,Queens,0,-73.81571,40.62149
2,Queens,0,-73.81543,40.62012
2,Queens,0,-73.81718,40.61927
2,Queens,0,-73.81777,40.6175
2,Queens,0,-73.81653,40.61495
2,Queens,0,-73.82142,40.61505
2,Queens,0,-73.82382,40.6115
2,Queens,0,-73.82575,40.61419
2,Queens,0,-73.82726,40.61338
2,Queens,0,-73.82788,40.6137
2,Queens,0,-73.8275,40.6142
2,Queens,0,-73.83055,40.61493
2,Queens,0,-73.83434,40.61437
2,Queens,0,-73.83777,40.61552
2,Queens,0,-73.83496,40.61778
2,Queens,0,-73.83575,40.61961
2,Queens,0,-73.83477,40.61984
2,Queens,0,-73.83531,40.62015
2,Queens,0,-73.83465,40.622
2,Queens,0,-73.83535,40.6237
2,Queens,0,-73.83514,40.62549
2,Queens,0,-73.83342,40.62678
2,Queens,0,-73.83464,40.62743
2,Queens,0,-73.83196,40.62965
2,Queens,0,-73.83115,40.63256
2,Queens,0,-73.83341,40.6385
2,Queens,0,-73.83222,40.63893
2,Queens,0,-73.82809,40.63588
2,Queens,0,-73.82592,40.63575
2,Queens,0,-73.82443,40.63622
2,Queens,0,-73.82419,40.63995
2,Queens,0,-73.82338,40.63899
3,Bronx,0,-73.84793,40.87134
3,Bronx,0,-73.82951,40.86184
3,Bronx,0,-73.82834,40.86089
3,Bronx,0,-73.82987,40.85974
3,Bronx,0,-73.83682,40.85728
3,Bronx,0,-73.8474,40.85868
3,Bronx,0,-73.85664,40.85812
3,Bronx,0,-73.8578,40.86304
3,Bronx,0,-73.85961,40.86551
3,Bronx,0,-73.86156,40.86555
3,Bronx,0,-73.86138,40.87134
3,Bronx,0,-73.85661,40.87125
3,Bronx,0,-73.85651,40.87422
3,Bronx,0,-73.84793,40.87134
4,Manhattan,0,-73.97177,40.72582
4,Manhattan,0,-73.97348,40.71886
4,Manhattan,0,-73.97722,40.71931
4,Manhattan,0,-73.98382,40.72147
4,Manhattan,0,-73.97803,40.72943
4,Manhattan,0,-73.97205,40.72688
4,Manhattan,0,-73.97177,40.72582
7,Queens,0,-73.91812,40.77003
7,Queens,0,-73.90203,40.76742
7,Queens,0,-73.90779,40.76052
7,Queens,0,-73.90632,40.75984
7,Queens,0,-73.90901,40.75428
7,Queens,0,-73.91023,40.75298
7,Queens,0,-73.91763,40.75386
7,Queens,0,-73.92563,40.75214
7,Queens,0,-73.92416,40.75396
7,Queens,0,-73.93679,40.75988
7,Queens,0,-73.93398,40.76283
7,Queens,0,-73.937,40.76424
7,Queens,0,-73.93601,40.76588
7,Queens,0,-73.93859,40.76682
7,Queens,0,-73.93618,40.76769
7,Queens,0,-73.93494,40.76701
7,Queens,0,-73.93344,40.76882
7,Queens,0,-73.92425,40.76472
7,Queens,0,-73.92219,40.76727
7,Queens,0,-73.91978,40.76615
7,Queens,0,-73.91849,40.76773
7,Queens,0,-73.91996,40.76844
7,Queens,0,-73.91812,40.77003
8,Queens,0,-73.92334,40.77513
8,Queens,0,-73.92398,40.77462
8,Queens,0,-73.92828,40.7769
8,Queens,0,-73.92423,40.7791
8,Queens,0,-73.91996,40.78264
8,Queens,0,-73.91797,40.78126
8,Queens,0,-73.92376,40.77655
8,Queens,0,-73.92334,40.77513
9,Queens,0,-73.78572,40.76292
9,Queens,0,-73.78052,40.75333
9,Queens,0,-73.77574,40.74333
9,Queens,0,-73.79672,40.73842
9,Queens,0,-73.79629,40.73855
9,Queens,0,-73.79722,40.7401
9,Queens,0,-73.79723,40.7417
9,Queens,0,-73.79446,40.74497
9,Queens,0,-73.79472,40.7476
9,Queens,0,-73.7973,40.74944
9,Queens,0,-73.79472,40.75065
9,Queens,0,-73.79493,40.7578
9,Queens,0,-73.79032,40.75782
9,Queens,0,-73.79076,40.76099
9,Queens,0,-73.79344,40.76076
9,Queens,0,-73.79303,40.76462
9,Queens,0,-73.79396,40.7647
9,Queens,0,-73.79318,40.7704
9,Queens,0,-73.78837,40.76444
9,Queens,0,-73.78572,40.76292
10,Queens,0,-73.78327,40.68999
10,Queens,0,-73.78234,40.68841
10,Queens,0,-73.78149,40.6887
10,Queens,0,-73.77967,40.68538
10,Queens,0,-73.777,40.68628
10,Queens,0,-73.77418,40.68324
10,Queens,0,-73.77329,40.68345
10,Queens,0,-73.7722,40.68161
10,Queens,0,-73.78026,40.67784
10,Queens,0,-73.78397,40.67512
10,Queens,0,-73.78574,40.67239
10,Queens,0,-73.78809,40.67301
10,Queens,0,-73.78941,40.66684
10,Queens,0,-73.80156,40.66675
10,Queens,0,-73.80143,40.67367
10,Queens,0,-73.80577,40.68293
10,Queens,0,-73.79898,40.68486
10,Queens,0,-73.79995,40.68683
10,Queens,0,-73.79561,40.68866
10,Queens,0,-73.79391,40.6863
10,Queens,0,-73.78327,40.68999
11,Brooklyn,0,-74.00493,40.60507
11,Brooklyn,0,-73.99559,40.60023
11,Brooklyn,0,-74.002,40.59413
11,Brooklyn,0,-74.00553,40.59754
